,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
42,30701331,122152,20.66,167.83,0.525,56390.18877428146,HESE,GOLD,2.27,6.6
43,6905361,122154,4.22,7.38,0.395,56390.75835433359,GFU,BRONZE,8.31,12.919999999999998
44,52726834,122160,29.44,163.56,0.411,56391.98239268221,GFU,BRONZE,7.84,5.18
45,49995489,122316,26.24,337.76,0.452,56420.64119743768,GFU,BRONZE,4.59,5.23
46,21601607,122318,2.09,317.5,0.249,56421.18583123269,GFU,BRONZE,2.5300000000000002,3.6100000000000003
47,46565711,122361,23.85,45.35,0.364,56431.48285381537,GFU,BRONZE,2.04,4.61
48,31925079,122469,6.32,164.18,0.351,56443.55692494961,GFU,BRONZE,2.59,4.57
49,17469985,122604,14.17,93.74,0.938,56470.11039111138,GFU,GOLD,2.27,2.15
50,60656774,122605,3.73,155.35,0.309,56470.42590147932,GFU,BRONZE,3.1399999999999997,6.24
51,58987459,122663,-2.43,77.87,0.426,56484.5298335607,GFU,BRONZE,2.46,3.78
52,38570780,122768,6.32,122.87,0.319,56504.07237014141,GFU,BRONZE,5.640000000000001,6.64
53,38615684,122772,7.75,214.98,0.28,56505.25626840586,GFU,BRONZE,2.44,8.35
54,12516001,122793,13.36,129.02,0.328,56508.81461902112,GFU,BRONZE,2.76,2.6799999999999997
55,16944987,122818,9.22,26.59,0.294,56512.33958626503,GFU,BRONZE,1.78,2.37
56,69011827,122895,0.56,91.32,0.301,56526.40856500706,GFU,BRONZE,1.4100000000000001,2.38
57,6578595,122973,-10.54,130.17,0.322,56542.79309917137,EHE,GOLD,0.5700000000000001,0.79
58,8144529,123107,10.28,32.92,0.665,56579.90921080246,GFU,GOLD,0.99,1.58
59,34573112,123145,11.61,301.9,0.59,56588.55850592728,EHE,GOLD,2.4299999999999997,2.06
60,40504010,123228,41.81,342.73,0.502,56604.55261167329,GFU,BRONZE,2.29,3.12
